iter	Passed	Remaining
398	72383	18322
399	72508	18127
400	72726	17955
401	72964	17787
402	73087	17591
403	73255	17407
404	73370	17210
405	73439	17003
406	73520	16799
407	73605	16597
408	74126	16492
409	74181	16283
410	74242	16076
411	74440	15899
412	74546	15703
413	74650	15507
414	74756	15311
415	74887	15121
416	74933	14914
417	75006	14714
418	75114	14521
419	75180	14320
420	75337	14136
421	75541	13962
422	75628	13766
423	75707	13570
424	75835	13382
425	75950	13193
426	76061	13003
427	76124	12805
428	76171	12606
429	76215	12407
430	76258	12208
431	76302	12010
432	76345	11813
433	76392	11617
434	76435	11421
435	76481	11226
436	76523	11031
437	76560	10837
438	76598	10643
439	76641	10451
440	76680	10258
441	76723	10067
442	76763	9877
443	76800	9686
444	76841	9497
445	76924	9313
446	77019	9132
447	77061	8944
448	77103	8757
449	77144	8571
450	77187	8386
451	77229	8201
452	77303	8020
453	77409	7843
454	77523	7667
455	77614	7489
456	77676	7308
457	77752	7130
458	77831	6952
459	77896	6773
460	77966	6595
461	78035	6418
462	78098	6241
463	78160	6064
464	78225	5887
465	78296	5712
466	78399	5540
467	78461	5364
468	78537	5191
469	78625	5018
470	78719	4846
471	78787	4673
472	78837	4500
473	78918	4328
474	78983	4157
475	79045	3985
476	79112	3814
477	79176	3644
478	79227	3473
479	79280	3303
480	79330	3133
481	79379	2964
482	79552	2799
483	81149	2682
484	82091	2538
485	82805	2385
486	83105	2218
487	83221	2046
488	83288	1873
489	83539	1704
490	83898	1537
491	85247	1386
492	85564	1214
493	85983	1044
494	86608	874
495	86921	700
496	87066	525
497	87176	350
498	87302	174
499	87422	0
