iter	Logloss
0	0.6903271458
1	0.6877108954
2	0.6845133873
3	0.6825296837
4	0.680921781
5	0.6793973132
6	0.6772826368
7	0.6746142839
8	0.6735922496
9	0.6723570426
10	0.6718653554
11	0.6689052822
12	0.6653082034
13	0.6625458953
14	0.6608256676
15	0.6605008911
16	0.6590086937
17	0.6574587921
18	0.6566045627
19	0.6553945718
20	0.6545829125
21	0.6539709149
22	0.6537888279
23	0.6525925179
24	0.6501276912
25	0.6477265602
26	0.6465720384
27	0.6450475477
28	0.6443824773
29	0.6439098123
30	0.6426603759
31	0.6421118081
32	0.6403326654
33	0.6392736356
34	0.6388184061
35	0.6380956244
36	0.6367864067
37	0.63647599
38	0.6348872329
39	0.6336118047
40	0.6313157465
41	0.6290769376
42	0.6265514101
43	0.6257990714
44	0.6251972449
45	0.6242943401
46	0.6227896607
47	0.6220552862
48	0.6216391499
49	0.6207071618
50	0.6202180973
51	0.6198014191
52	0.619107906
53	0.618917844
54	0.6184456482
55	0.6156192352
56	0.6149715833
57	0.6146989031
58	0.6135525777
59	0.6129740449
60	0.6113459278
61	0.6099430607
62	0.6088203262
63	0.6077706544
64	0.6060644587
65	0.6040313779
66	0.6015889255
67	0.6003103497
68	0.5994187297
69	0.598692602
70	0.5983616533
71	0.5976650079
72	0.5972312846
73	0.5963520997
74	0.5952173455
75	0.59456311
76	0.5919097792
77	0.5905428714
78	0.5889920021
79	0.5882422499
80	0.5877210683
81	0.5874637348
82	0.5870475104
83	0.5868418691
84	0.5862516882
85	0.5859824782
86	0.5855908353
87	0.5840692468
88	0.5836857235
89	0.5831535583
90	0.5827710943
91	0.5818688714
92	0.5811436744
93	0.5805331972
94	0.580196522
95	0.579820952
96	0.5795114936
97	0.5785757315
98	0.5784610667
99	0.5780075213
100	0.5770397595
101	0.5763211322
102	0.5759606284
103	0.5758285678
104	0.5756651233
105	0.5751044374
106	0.5742734985
107	0.5739578838
108	0.5737665946
109	0.5735653544
110	0.5725579559
111	0.5722093039
112	0.5721250805
113	0.5717554801
114	0.570960869
115	0.5706869733
116	0.5704061816
117	0.5696843242
118	0.5686584164
119	0.56762371
120	0.5668802373
121	0.5664798687
122	0.5653475475
123	0.5646451523
124	0.5643335685
125	0.5625907241
126	0.5620994279
127	0.5614455025
128	0.5604083443
129	0.5602819708
130	0.5599912294
131	0.5598703098
132	0.5595233842
133	0.5590921247
134	0.5588538355
135	0.5585174705
136	0.5582596775
137	0.5579066267
138	0.5576728401
139	0.5575787663
140	0.5574832166
141	0.5572885415
142	0.5570378365
143	0.5565783707
144	0.5562161092
145	0.5559770291
146	0.5555194468
147	0.5550339671
148	0.5544037143
149	0.5542698916
150	0.5540062143
151	0.5537298917
152	0.5536082474
153	0.5534338762
154	0.5531095053
155	0.5527603798
156	0.5519035373
157	0.5517446654
158	0.551396957
159	0.550742478
160	0.5505685288
161	0.5504371487
162	0.5500237467
163	0.5496823931
164	0.5494186897
165	0.5493032658
166	0.5492358431
167	0.5490145517
168	0.5488583608
169	0.5486134642
170	0.548531784
171	0.5482810378
172	0.547844214
173	0.5473521742
174	0.5469528516
175	0.5462643976
176	0.5461070501
177	0.5453728278
178	0.5450730762
179	0.544489355
180	0.5441876024
181	0.5435142386
182	0.5432386798
183	0.5429401287
184	0.5427965594
185	0.5426369418
186	0.5425414466
187	0.5423898876
188	0.5421835523
189	0.5420601978
190	0.5419103037
191	0.5413941096
192	0.5411679215
193	0.5407654589
194	0.5403021671
195	0.5401921125
196	0.5401195537
197	0.5400552079
198	0.539532753
199	0.5392733982
200	0.5391478527
201	0.5389648972
202	0.5387433402
203	0.5375181573
204	0.5374179864
205	0.5372160525
206	0.5370199161
207	0.5369066647
208	0.5367269933
209	0.5366689808
210	0.536459907
211	0.5360146172
212	0.5358369606
213	0.5357281745
214	0.5353767303
215	0.5352898185
216	0.5351135662
217	0.5350583991
218	0.5348721016
219	0.5346284796
220	0.5345607113
221	0.5343971729
222	0.5341600181
223	0.5340566855
224	0.5339182849
225	0.5338529837
226	0.5336928229
227	0.5332583191
228	0.5331278017
229	0.5330574901
230	0.5329030439
231	0.5327273357
232	0.5324839893
233	0.5324169071
234	0.5323549887
235	0.5318371031
236	0.5317612532
237	0.5317055868
238	0.5316362594
239	0.531490454
240	0.5313743944
241	0.5312940236
242	0.5312233543
243	0.5310516282
244	0.5308897747
245	0.5308168605
246	0.530654086
247	0.5305373256
248	0.5301921484
249	0.5296750754
250	0.5295276304
251	0.5293841021
252	0.529255628
253	0.5291866359
254	0.5291132372
255	0.5289740881
256	0.528908851
257	0.5288282227
258	0.528660785
259	0.528464926
260	0.5278336268
261	0.5277661499
262	0.5276876563
263	0.5276208387
264	0.5275527005
265	0.5274551228
266	0.527137755
267	0.5270199691
268	0.5261094571
269	0.5258112839
270	0.5256790901
271	0.5251073772
272	0.5248530026
273	0.5245437107
274	0.5243861167
275	0.5242564392
276	0.5241915683
277	0.5240693248
278	0.5239970373
279	0.5238656677
280	0.5237079483
281	0.5235019709
282	0.5233669195
283	0.5232739864
284	0.5231470303
285	0.5229788138
286	0.5229198898
287	0.5227354546
288	0.5226145116
289	0.5225097876
290	0.5224639576
291	0.522376117
292	0.5221562156
293	0.522101055
294	0.5220065734
295	0.5219519904
296	0.5217153872
297	0.5215914636
298	0.5205830464
299	0.5205261541
300	0.5203888535
301	0.5194697847
302	0.5189777233
303	0.5185424487
304	0.5184316404
305	0.5176852067
306	0.5175504285
307	0.5174362459
308	0.5170052436
309	0.5164312073
310	0.516371775
311	0.5162602596
312	0.5161486209
313	0.5157873151
314	0.5152574061
315	0.5148134742
316	0.5143222365
317	0.5142724313
318	0.5141402574
319	0.5136254468
320	0.5131538838
321	0.5128124814
322	0.5126165085
323	0.5125153693
324	0.5120289615
325	0.5117929995
326	0.5117448225
327	0.5116031321
328	0.5114192893
329	0.5113496117
330	0.5112548555
331	0.5110794252
332	0.5109933966
333	0.5109027517
334	0.5108053292
335	0.5106144612
336	0.5105246953
337	0.51045118
338	0.5103853694
339	0.5101251784
340	0.5100254043
341	0.5098644489
342	0.5098242635
343	0.5097686982
344	0.5097265001
345	0.5096561411
346	0.5095528556
347	0.5093358727
348	0.5092872646
349	0.5092402193
350	0.5091505559
351	0.5088933511
352	0.5087545305
353	0.5085441043
354	0.50850444
355	0.5083072247
356	0.5082623776
357	0.5081918167
358	0.5081269142
359	0.5080938309
360	0.5080027985
361	0.50784154
362	0.5077535149
363	0.5075830474
364	0.5074893985
365	0.5074422848
366	0.5069786037
367	0.5068898243
368	0.5067853732
369	0.5067266593
