iter	Logloss
370	0.5065469923
371	0.5064866
372	0.5062308856
373	0.5061928237
374	0.506122243
375	0.5060365793
376	0.5058939184
377	0.5057984781
378	0.5055340972
379	0.5054686799
380	0.5053799419
381	0.5052483418
382	0.5051925345
383	0.5051305291
384	0.5050796669
385	0.5049246927
386	0.5048255711
387	0.5046756191
388	0.5045792254
389	0.5043620241
390	0.5042105447
391	0.504170344
392	0.5039774792
393	0.5037776717
394	0.5037089939
395	0.5036560753
396	0.5035508276
397	0.5034328716
398	0.5031099754
399	0.5029925122
400	0.5029451109
401	0.5029037828
402	0.5028480942
403	0.5027788945
404	0.5026452815
405	0.5026046858
406	0.5025221461
407	0.5024212475
408	0.502379473
409	0.5022879847
410	0.5022297344
411	0.5019158315
412	0.5018387383
413	0.5018076548
414	0.5015411843
415	0.5014381677
416	0.5014024635
417	0.5013054503
418	0.5012413978
419	0.5011963697
420	0.5010490828
421	0.501004988
422	0.5008771174
423	0.5008360031
424	0.5007963532
425	0.5007387256
426	0.5006253639
427	0.5005333784
428	0.5004133701
429	0.5003529075
430	0.5002260468
431	0.5001193008
432	0.4999992524
433	0.499797839
434	0.4996950077
435	0.4995857245
436	0.4993869505
437	0.4993066069
438	0.4992573419
439	0.4992243232
440	0.4991854846
441	0.499080068
442	0.4990147771
443	0.4989639295
444	0.4989224832
445	0.4988596833
446	0.4988199086
447	0.4987821689
448	0.4987199811
449	0.4984092433
450	0.4983434035
451	0.4982804272
452	0.4982068994
453	0.4981674268
454	0.498098073
455	0.4980462261
456	0.4979908891
457	0.4979636211
458	0.4979092732
459	0.497871581
460	0.4977453649
461	0.4976786825
462	0.4975582193
463	0.4974765039
464	0.4973894432
465	0.4973172823
466	0.497263821
467	0.4972278982
468	0.497195316
469	0.4971591584
470	0.4970805908
471	0.4970308814
472	0.4969311347
473	0.4968980421
474	0.4968495088
475	0.4967101551
476	0.4965751698
477	0.4964852903
478	0.4964210046
479	0.4963435172
480	0.4962972988
481	0.4962138663
482	0.4961669994
483	0.4961185338
484	0.4960768794
485	0.4960239204
486	0.4959693965
487	0.4958795233
488	0.4958369845
489	0.4957880917
490	0.4957564568
491	0.4956933583
492	0.4956650104
493	0.4956044398
494	0.4955091984
495	0.4954221086
496	0.4953986596
497	0.495314574
498	0.4951244367
499	0.4950722359
